user_id,user_name,user_email,user_password,user_phone,user_birthdate,user_gender,user_local,user_ic,user_vac_status,user_deleted
1,Kylie,k@k.k,8ce4b16b22b58894aa86c421e8759df3,+8993200881,1982-09-12,M,USER_LOCAL,536703312163,VAC_FULL,0
2,Frayda,fshailer1@boston.com,dc48c1e31185f085b6018a30e9f1f25a,2005716574,1948-11-02,F,USER_LOCAL,933816951626,VAC_FULL,1
3,Jamie,jpogson2@microsoft.com,70c93784aeca114757498cfa3b91f7a6,1824323104,2007-03-15,M,USER_LOCAL,229868220757,VAC_FULL,0
4,Orazio,oderoos3@blinklist.com,c34affc69de4c07e7035c6a07574ae19,1545394359,1999-12-17,M,USER_LOCAL,322767937722,VAC_PARTIAL,0
5,Jillane,jcaton4@apache.org,c35e4b99af7f7a977cb491221897cc32,3687389311,1959-11-11,F,USER_LOCAL,893016215752,VAC_FULL,1
6,Augustina,aabella5@senate.gov,a4985005bdee3d9d73ca497aa426c2c6,3582527891,1950-03-22,F,USER_LOCAL,051732547868,VAC_PARTIAL,0
7,Friedrich,fdeblasio6@myspace.com,06ca328ed9e4d7ff85af8eae07d3a47f,2786624627,1930-10-12,M,USER_FOREIGN,322348260426,VAC_PARTIAL,1
8,Chantalle,cranscomb7@meetup.com,c28f514d4418196752abf49b801dd183,1849010693,2005-10-19,F,USER_LOCAL,824909583164,VAC_FULL,1
9,Sonja,srobbings8@dailymotion.com,27428cf7c796aa21af69798963098adf,6461043682,2009-12-23,F,USER_LOCAL,733380612314,VAC_PARTIAL,0
10,Joletta,jgiffon9@kickstarter.com,b24d90c51a32c2707189234e0b402b57,7216972209,1934-01-05,F,USER_FOREIGN,797624901325,VAC_PARTIAL,1
11,Kayle,kpirduea@yandex.ru,40caf9886e53c87be342ac51f29988f2,4889862318,1949-11-24,F,USER_LOCAL,178009103208,VAC_FULL,1
12,Kelci,kdefilippib@is.gd,05e0fcfeba458409562eb6999da8f1e8,6975235558,1940-01-18,F,USER_LOCAL,856629925173,VAC_FULL,1
13,Burnard,bkosiadac@auda.org.au,fe401cbca583bc3eb3f404ff157b9ac8,4028824296,2007-08-11,M,USER_LOCAL,553348031802,VAC_UNVAC,1
14,Obediah,olabrenzd@tmall.com,64cc57b7dca0faa29c71488ea5998f46,3712180612,1959-06-20,M,USER_LOCAL,027278430957,VAC_FULL,0
15,Camilla,csperskie@ft.com,8ff3bd7c480722a20471b4bbb695ce18,9441935659,1995-05-12,F,USER_LOCAL,251350305595,VAC_PARTIAL,1
16,Frants,fpeglerf@nytimes.com,807f75b4fa8e7a6a226ac70ba2bb9b65,8829547642,1992-12-30,M,USER_FOREIGN,192723009857,VAC_FULL,0
17,Abbey,arodliffg@tripadvisor.com,624d7e564da7ff4751cdae467b12a4cf,3475757212,1951-03-18,M,USER_LOCAL,104760115391,VAC_PARTIAL,1
18,Link,lcarleh@nationalgeographic.com,fff90da9020c253a3e6c562c93da3d05,9694214563,2008-02-09,M,USER_FOREIGN,440599117782,VAC_FULL,1
19,Alika,amolesi@mayoclinic.com,6c1aafc0bd2dca2a759a51b3527788e2,2076305897,1964-05-26,F,USER_LOCAL,469939521517,VAC_PARTIAL,1
20,Kesley,kjadoj@ihg.com,37ee99c65ab475d2b5457fddbfc58518,7694781214,1952-01-19,F,USER_LOCAL,282921210833,VAC_PARTIAL,1
21,Graeme,gmallinark@yandex.ru,f29d679c637e14c671e050056efb1329,5115402246,1999-03-14,M,USER_FOREIGN,478071370596,VAC_UNVAC,0
22,Kristan,kdudgeonl@discuz.net,eba25f828662225fc7c2d8c98bef1176,1403490688,1921-12-28,F,USER_LOCAL,326815842024,VAC_FULL,0
23,Max,mhenighanm@mtv.com,1f90e6b1faed269bf2bfa6f7515b262a,2935345140,1992-10-27,F,USER_LOCAL,436049998934,VAC_PARTIAL,0
24,Archy,acastanan@de.vu,8d0783ed4a89b313e56d9d5f8239c957,9228542186,1950-07-26,M,USER_LOCAL,766262670805,VAC_FULL,1
25,Constantin,ckyndero@google.com.br,2a507518f93852ab8c72add946530671,1069958942,1991-03-09,M,USER_LOCAL,851581125764,VAC_PARTIAL,1
26,Hamish,hfrodshamp@adobe.com,95249f8de8a98b7e316d8e9fcb9d01ef,3144231262,1973-02-09,M,USER_LOCAL,143302076441,VAC_FULL,1
27,Libbey,lellensq@bloglovin.com,cf43af217416003e2a92158fc5e2b6a7,7294631803,1929-08-10,F,USER_LOCAL,634271513948,VAC_PARTIAL,0
28,Marcia,mmacilurickr@omniture.com,508416e1d84187bbf9affd69c4be6721,3224743349,1922-07-16,F,USER_LOCAL,609570432186,VAC_FULL,0
29,Witty,woquins@intel.com,8fe5d0817ccf3f642562be5b225b7d16,7366836938,1953-10-20,M,USER_FOREIGN,380003025813,VAC_PARTIAL,1
30,Dillie,dlawransont@psu.edu,4a784cdaad02470f9b0f7414e4b78404,2817993185,1936-08-18,M,USER_LOCAL,560227086425,VAC_FULL,0
31,Fayth,fvickarmanu@sina.com.cn,fdd022d9a209dd82569bbf8796181d3d,5796468898,1982-08-02,F,USER_FOREIGN,776753579231,VAC_FULL,1
32,Gregoor,gpyrahv@arizona.edu,966bc4487d5cc6078e89438813f62b17,1707891568,1964-01-12,M,USER_LOCAL,286543122884,VAC_UNVAC,0
33,Hansiain,hrennardw@ca.gov,ac7abe555759dd93cdd7938c769c828c,9541742813,1967-04-18,M,USER_LOCAL,547873463193,VAC_PARTIAL,0
34,Ansell,aszymczykx@parallels.com,a783b02fbc7464e7b04975f6c3677de5,1113499027,1993-04-27,M,USER_LOCAL,842084740309,VAC_UNVAC,1
35,Laurene,llinsteady@bluehost.com,52cd31f8108c42bc1651d3aeb30400dd,8424048543,1989-01-25,F,USER_LOCAL,320509677166,VAC_FULL,1
36,Charlean,cpoylez@seesaa.net,5addb20c58ed6dabcf110b15c12f2b32,6947750728,1998-06-12,F,USER_LOCAL,097460266357,VAC_PARTIAL,0
37,Rawley,rmeneghelli10@prnewswire.com,d5024469b6036dcaea87b56508c30fa4,4276086291,1973-04-22,M,USER_LOCAL,298476373582,VAC_PARTIAL,0
38,Ethe,ebranwhite11@gmpg.org,2d1ca0c4d0dcffb2413ab3cba54b49cc,9252302222,1923-02-07,M,USER_FOREIGN,166981076581,VAC_FULL,1
39,Wilmar,wsoitoux12@netlog.com,4757d6a7348999f055183c0308b3ddd0,2827536493,1930-05-09,M,USER_FOREIGN,431315549792,VAC_PARTIAL,1
40,Barron,bhalliwell13@qq.com,29d226b79537a2e6ef2f29f9097a3518,3424520187,2005-09-30,M,USER_LOCAL,587112740477,VAC_UNVAC,0
41,Koren,ksandwick14@unblog.fr,31add62f9b40d70ecf42afe646525285,4168751102,1976-12-30,F,USER_LOCAL,031733192948,VAC_FULL,0
42,Felita,fpowis15@prnewswire.com,802de10be64544130d8b48565f79ebd7,4171198044,1966-09-25,F,USER_LOCAL,063668096915,VAC_PARTIAL,1
43,Saraann,shales16@reuters.com,479fb59addc4e8a1c5728b541efd6138,7903901501,1975-05-04,F,USER_LOCAL,700031508253,VAC_PARTIAL,1
